epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12523,3.54572,3.98124,1.99289,0,0,0,0,3.34012,3.82085,2.21263,0,0,0
2,10.8939,3.22391,3.75695,1.91848,0,0,0,0,3.2686,3.81486,2.18541,1.9604e-05,1.9604e-05,1.9604e-05
3,15.6148,3.30772,3.76908,1.83572,0,0,0,0,3.28374,3.78336,2.15899,3.8416e-05,3.8416e-05,3.8416e-05
4,20.1428,3.5634,3.77674,1.7774,0,0,0,0,3.22,3.73143,2.07721,5.6436e-05,5.6436e-05,5.6436e-05
5,24.691,2.98777,3.74465,1.86704,0.00167,0.02703,0.00088,0.00053,3.01889,3.68456,1.87122,7.3664e-05,7.3664e-05,7.3664e-05
6,29.7996,3.23655,3.63737,1.71088,0.01,0.16216,0.00587,0.00142,2.96442,3.64568,1.80718,9.01e-05,9.01e-05,9.01e-05
7,34.6553,2.84358,3.39371,1.74191,0.01833,0.2973,0.01508,0.00388,2.79283,3.54369,1.64755,0.000105744,0.000105744,0.000105744
8,39.3771,2.78849,3.41916,1.49432,0.025,0.40541,0.0295,0.00818,2.76367,3.48787,1.6122,0.000120596,0.000120596,0.000120596
9,44.6828,2.57393,3.25334,1.58503,0.025,0.40541,0.0295,0.00818,2.76367,3.48787,1.6122,0.000134656,0.000134656,0.000134656
10,49.711,2.60373,3.29091,1.52508,0.03667,0.59459,0.04245,0.00908,2.76073,3.44092,1.58997,0.000147924,0.000147924,0.000147924
11,54.4549,2.28775,3.15471,1.45412,0.03667,0.59459,0.04245,0.00908,2.76073,3.44092,1.58997,0.0001604,0.0001604,0.0001604
12,59.1556,2.45205,3.18577,1.38013,0.04167,0.67568,0.04808,0.01016,2.81227,3.39651,1.62246,0.000172084,0.000172084,0.000172084
13,63.9365,2.64638,3.0001,1.46247,0.04167,0.67568,0.04808,0.01016,2.81227,3.39651,1.62246,0.000182976,0.000182976,0.000182976
14,68.8373,2.16586,2.93356,1.41011,0.04,0.64865,0.04222,0.01019,2.84576,3.32708,1.63143,0.000193076,0.000193076,0.000193076
15,73.5819,2.72035,2.85409,1.46419,0.04,0.64865,0.04222,0.01019,2.84576,3.32708,1.63143,0.000202384,0.000202384,0.000202384
16,78.2317,2.2808,2.66827,1.42657,0.035,0.56757,0.05861,0.01115,2.84976,3.29096,1.68017,0.0002109,0.0002109,0.0002109
17,83.0897,2.27831,2.54759,1.33445,0.035,0.56757,0.05861,0.01115,2.84976,3.29096,1.68017,0.000218624,0.000218624,0.000218624
18,87.867,3.13793,2.66132,1.49272,0.03333,0.54054,0.13353,0.02518,2.84894,3.25355,1.72553,0.000225556,0.000225556,0.000225556
