ID,Age,Salary,Join_Date,Active
,53,5054.589535113399,,Yes
2,36,8592.830392370022,2023-12-23,No
3,37,,,1
4,46,5053.56738251434,,1
5,,,,0
,,6428.051881283961,,No
7,28,,2020-03-14,
8,40,4449.91,2022-11-03,0
,,,,
10,44,4540.514932917124,2020-12-23,
,38,6196.667760604254,2021-06-18,
12,53,6320.52007408779,2023-09-03,
13,26,5439.696974971447,2021-11-18,Yes
,40,4056.39,,No
15,38,6373.36695840014,2023-10-18,
16,,6990.16,,No
17,55,8858.419451108035,2021-06-16,No
18,,5897.99,,Yes
,39,,,No
20,39,8419.14,2023-05-03,Yes
21,58,5877.473214568052,2020-06-17,0
,64,8920.258079531975,,
,61,,,
24,,,,
25,32,6964.969315242441,,1
26,,3145.74,,No
,62,,,1
28,,7397.077469396831,,Yes
,53,9308.979358082886,2020-08-04,No
30,31,9893.99,2023-07-16,0
31,46,,2020-07-04,Yes
32,62,4785.798109218802,2020-04-07,0
,42,8822.558248995681,2023-02-16,
34,20,,2020-12-09,Yes
35,56,2666.703114040299,2023-05-27,No
36,60,5535.43,2023-08-27,No
37,31,,2023-02-02,
38,,7136.526920713692,,1
39,,7300.92,,No
40,,5648.967850254869,2023-06-03,
41,,8578.192257723887,2022-08-11,
,44,7512.0287140014225,2022-12-15,0
43,40,7341.589270888447,2023-11-04,
,24,9852.96,,No
45,62,,,0
46,22,3547.65,2021-09-24,Yes
,,3572.74,,Yes
,21,,,0
49,26,,2022-12-07,1
50,18,,2020-02-28,Yes
