epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9775,1.09523,3.71548,1.56648,0.35513,1,0.47083,0.40158,0.53337,2.72462,1.21093,2e-05,2e-05,2e-05
2,26.3284,1.10557,3.33408,1.6548,0.81778,0.75,0.81992,0.74554,0.51236,3.39003,1.1596,5.8812e-05,5.8812e-05,5.8812e-05
3,36.4513,0.88963,1.91128,1.39897,0.99116,0.91667,0.93962,0.83564,0.51779,5.41423,1.20706,9.604e-05,9.604e-05,9.604e-05
4,46.8116,0.69003,1.85726,1.29674,0.91562,0.90516,0.8895,0.8005,0.52776,5.1015,1.17456,0.000131684,0.000131684,0.000131684
5,55.5831,0.66478,1.54249,1.25856,0.82923,0.81075,0.82344,0.7352,0.51455,4.94939,1.12177,0.000165744,0.000165744,0.000165744
6,65.5764,0.83428,1.7041,1.2917,0.69972,0.83333,0.82377,0.73555,0.47208,4.76278,1.0768,0.00019822,0.00019822,0.00019822
7,75.34,0.59037,1.15749,1.139,0.68805,0.83333,0.87841,0.77275,0.50629,4.7048,1.12141,0.000229112,0.000229112,0.000229112
8,82.8219,0.65959,1.27337,1.23907,0.68362,0.91667,0.86034,0.73851,0.5867,5.55125,1.21817,0.00025842,0.00025842,0.00025842
9,92.5447,0.65627,1.39498,1.23536,0.63293,0.57547,0.67817,0.5651,0.63543,6.64065,1.25828,0.000286144,0.000286144,0.000286144
10,101.794,0.66189,1.48882,1.37088,0.55503,0.66667,0.60408,0.51496,0.59985,4.57462,1.1943,0.000312284,0.000312284,0.000312284
11,109.218,0.64456,1.28836,1.24465,0.95947,0.66667,0.8681,0.76056,0.52365,2.6326,1.10479,0.00033684,0.00033684,0.00033684
12,118.083,0.63725,1.21965,1.14034,0.95947,0.66667,0.8681,0.76056,0.52365,2.6326,1.10479,0.000359812,0.000359812,0.000359812
13,127.438,0.68597,1.25431,1.16175,0.67111,0.91667,0.93515,0.82495,0.47427,2.32661,1.0568,0.0003812,0.0003812,0.0003812
14,136.285,0.61142,0.95008,1.12139,0.70081,1,0.96346,0.83425,0.52256,2.49052,1.13713,0.000401004,0.000401004,0.000401004
15,143.583,0.5355,0.75136,1.11251,0.70081,1,0.96346,0.83425,0.52256,2.49052,1.13713,0.000419224,0.000419224,0.000419224
16,152.903,0.54419,0.81865,1.13521,0.78057,1,0.863,0.73686,0.47253,2.56644,1.10005,0.00043586,0.00043586,0.00043586
17,162.058,0.41272,0.84872,1.05727,0.95488,1,0.995,0.83841,0.52237,1.76123,1.25134,0.000450912,0.000450912,0.000450912
